chunk_id,text,resolved_text,unresolved_mentions
1a05beb7aa3071be6fd7::c0000,onsemi and Sineng Electric Spearhead the Development of Sustainable Energy Applications. (Nasdaq: ON) a leader in intelligent power and sensing technologies today announced that Sineng Electric will integrate onsemi EliteSiC silic,onsemi and Sineng Electric Spearhead the Development of Sustainable Energy Applications. (Nasdaq: ON) a leader in intelligent power and sensing technologies today announced that Sineng Electric will integrate onsemi EliteSiC silic,[]
ec98609611765e97440d::c0000,Adobe student receives national Information and Technology award. ELKO — An eighth grader at Adobe Middle School is one of 34 middle school aged girls in Nevada to be recognized by the National Center for Women in Technology. Janelle Garcia was recently ...,Adobe student receives national Information and Technology award. ELKO — An eighth grader at Adobe Middle School is one of 34 middle school aged girls in Nevada to be recognized by the National Center for Women in Technology. Janelle Garcia was recently ...,[]
8e922bc62b578e73e815::c0000,Modernizing State Services: Harnessing Technology for Enhanced Public Service Delivery. To deliver 21st-century government services Governors and cabinet members need leaders with technology expertise to help design and implement policy priorities. It is imperative for state ...,Modernizing State Services: Harnessing Technology for Enhanced Public Service Delivery. To deliver 21st-century government services Governors and cabinet members need leaders with technology expertise to help design and implement policy priorities. It is imperative for state ...,['It']
4bd7afdba71243b0dbcd::c0000,Terry Richardson On Why He Left AMD GreenPages’ Technology Chops And The AI Opportunity. In February GreenPages acquired Toronto-based Zanaris an IT automation cloud and DevOps services firm ... Steve Burke has been reporting on the technology industry and sales channel for ...,Terry Richardson On Why Terry Richardson Left AMD GreenPages’ Technology Chops And The AI Opportunity. In February GreenPages acquired Toronto-based Zanaris an IT automation cloud and DevOps services firm ... Steve Burke has been reporting on the technology industry and sales channel for ...,[]
e1dfbe88dae03136f847::c0000,"Synex Renewable Energy Corporation (Formerly Synex International Inc.) Third Quarter of Fiscal 2023. The conference will bring together growth oriented publicly traded clean energy and technology companies ... up to 4850 MW of clean power in British Columbia. For further information visit www.synex.com. This press release contains certain '""forward ...","Synex Renewable Energy Corporation (Formerly Synex International Inc.) Third Quarter of Fiscal 2023. The conference will bring together growth oriented publicly traded clean energy and technology companies ... up to 4850 MW of clean power in British Columbia. For further information visit www.synex.com. This press release contains certain '""forward ...",[]
6633c15d86f5e81f47b8::c0000,5 Kubernetes technology vendors hot right now. Kubernetes is a technology that has created a whole new ecosystem around itself and it is now a key plank in the DevOps movement when it comes to developing new applications and services and improving business operations Antony Savvas attended the recent ...,5 Kubernetes technology vendors hot right now. Kubernetes is a technology that has created a whole new ecosystem around Kubernetes and Kubernetes is now a key plank in the DevOps movement when it comes to developing new applications and services and improving business operations Antony Savvas attended the recent ...,[]
4ce72a4490a6a618e2d5::c0000,Bachelor of Science in Health Information Management. Health information management (HIM) is a diverse yet evolving field that incorporates medicine management finance information technology ... software vendors consulting services government agencies education and pharmaceutical companies.,Bachelor of Science in Health Information Management. Health information management (HIM) is a diverse yet evolving field that incorporates medicine management finance information technology ... software vendors consulting services government agencies education and pharmaceutical companies.,[]
00bf56b1ff85b6f5aaa5::c0000,Office of Government Information Services. We are announcing 2019''s annual Chief FOIA Officers'' Council meeting co-chaired by the Director of OGIS and the Director of OIP.,Office of Government Information Services. We are announcing 2019''s annual Chief FOIA Officers'' Council meeting co-chaired by the Director of OGIS and the Director of OIP.,[]
2059fb1c4ba3075d648d::c0000,Information for Suppliers. or service that use covered telecommunications equipment or services as a substantial or essential component of any system or as critical technology as part of any system. Additional information may be found at FAR Clause 52.204-25. Exhibit X Exhibit X is ...,Information for Suppliers. or service that use covered telecommunications equipment or services as a substantial or essential component of any system or as critical technology as part of any system. Additional information may be found at FAR Clause 52.204-25. Exhibit X Exhibit X is ...,[]
5f54d2695696a7b61748::c0000,Technology and services for publishers: Directory of recommended companies. Welcome to Press Gazette’s directory of recommended companies providing services to the news publishing industry. Contact Richard Jamieson to enquire about working with Press Gazette as a ...,Technology and services for publishers: Directory of recommended companies. Welcome to Press Gazette’s directory of recommended companies providing services to the news publishing industry. Contact Richard Jamieson to enquire about working with Press Gazette as a ...,[]
