id,name,name_norm,type,aliases,aliases_norm
00076a73c712500ec1d47d8e,new distributed cloud services,new distributed cloud services,Technology,['new distributed cloud services'],['new distributed cloud services']
0087edc0e9756820936e0dc5,Samantha Rajapaksa,samantha rajapaksa,Person,['Samantha Rajapaksa'],['samantha rajapaksa']
00976a066f2bf56f1fb38754,SpaceX,spacex,Company,['SpaceX'],['spacex']
00b6c835385fb8530abe1bec,Stellantis,stellantis,Company,['Stellantis'],['stellantis']
01b433b22d620a1f8f7803c5,Accenture,accenture,Company,['Accenture'],['accenture']
01c0a1b8545f22f61ffe10fc,Squeeze,squeeze,Company,['Squeeze'],['squeeze']
02b14e9944832c68a5bd1bc0,more than 75 of the world’s top 100 enterprises,more than 75 of the world s top 100 enterprises,Company,['more than 75 of the world’s top 100 enterprises'],['more than 75 of the world s top 100 enterprises']
02f50203f5a967ac3ebb42be,Ericsson,ericsson,Company,['Ericsson'],['ericsson']
03225e29e163710a285307ca,Computing System Innovations,computing system innovations,Company,['Computing System Innovations'],['computing system innovations']
03556878ae721fe4dc0799c8,Lanlogic,lanlogic,Company,['Lanlogic'],['lanlogic']
0403e360cea90d350edb0b11,Coinbase,coinbase,Company,['Coinbase'],['coinbase']
040a2d1a41a7e470ce51efbc,Joseph Vijay,joseph vijay,Person,['Joseph Vijay'],['joseph vijay']
041f4cff1155bf85a2949377,Shenzhen Yongyutai Electronics Co. Ltd,shenzhen yongyutai electronics co. ltd,Company,['Shenzhen Yongyutai Electronics Co. Ltd'],['shenzhen yongyutai electronics co. ltd']
0430a89df77e6234ef375307,GreenPages,greenpages,Company,['GreenPages'],['greenpages']
047ebee9335b2087b1650b44,Brad Chason,brad chason,Person,['Brad Chason'],['brad chason']
050b2b564fafa950d331d0d6,Yabx,yabx,Company,['Yabx'],['yabx']
053a765a98ee65882b005842,facial motion capture technology,facial motion capture technology,Technology,['facial motion capture technology'],['facial motion capture technology']
069634b21e6f7ed6319dc3fe,2023 Inc. 5000,2023 inc. 5000,Technology,['2023 Inc. 5000'],['2023 inc. 5000']
06c964b2680964da97cad806,Verizon Communications Inc.,verizon communications inc.,Company,['Verizon Communications Inc.'],['verizon communications inc.']
06d2e7ed299b1b3a9e66ec71,Information Services Group (ISG),information services group isg,Company,"['ISG (Information Services Group)', 'Information Services Group (ISG)']","['information services group isg', 'isg information services group']"
06f73103c64a031257801ac5,Ericsson's IoT Accelerator and Connected Vehicle Cloud businesses,ericsson s iot accelerator and connected vehicle cloud businesses,Technology,"[""Ericsson's IoT Accelerator and Connected Vehicle Cloud businesses""]",['ericsson s iot accelerator and connected vehicle cloud businesses']
0738888066e33393f6da488e,Saab,saab,Company,['Saab'],['saab']
075064f557cc37522f5e66b6,Tunstall Healthcare,tunstall healthcare,Company,['Tunstall Healthcare'],['tunstall healthcare']
076b1f367436ab68f7f1897f,Comcast Technology Solutions,comcast technology solutions,Company,['Comcast Technology Solutions'],['comcast technology solutions']
07f21a993871226abed12f9f,Senzary LLC,senzary llc,Company,['Senzary LLC'],['senzary llc']
083ed5d49fdc186225f764bd,Masters’ Union,masters union,Company,['Masters’ Union'],['masters union']
08d28fb94eb1a480efb496c3,SL Corp.,sl corp.,Company,['SL Corp.'],['sl corp.']
0922a38889e087ee5482520c,TRG,trg,Company,['TRG'],['trg']
0969b3c9eb710cb81035a3b4,Beijing Association for Science and Technology,beijing association for science and technology,Company,['Beijing Association for Science and Technology'],['beijing association for science and technology']
096a4c5d3ad45de076781004,Deloitte,deloitte,Company,['Deloitte'],['deloitte']
097e0b3a3e738b64f156cbfa,sensor chip,sensor chip,Technology,['sensor chip'],['sensor chip']
098349719c431c0255ad6e14,o9 Solutions,o9 solutions,Company,['o9 Solutions'],['o9 solutions']
098850741c07a316a9d5a06f,CDW,cdw,Company,['CDW'],['cdw']
09bcf49f58d45f1195e4c38c,Fran Thompson,fran thompson,Person,['Fran Thompson'],['fran thompson']
0a0f904eb8db4b5bfee6d12c,Southern Indiana ENT & Indianapolis Sinus Center,southern indiana ent indianapolis sinus center,Company,['Southern Indiana ENT & Indianapolis Sinus Center'],['southern indiana ent indianapolis sinus center']
