source_raw,source_type,relation,target_raw,target_type,source_chunk_id,published_date,evidence,confidence
onsemi,Company,DEVELOPED,Sustainable Energy Applications,Technology,1a05beb7aa3071be6fd7::c0000,2023-05-16,onsemi and Sineng Electric Spearhead the Development of Sustainable Energy Applications.,0.9
Sineng Electric,Company,PARTNERED_WITH,onsemi,Company,1a05beb7aa3071be6fd7::c0000,2023-05-16,Sineng Electric will integrate onsemi EliteSiC silic.,0.9
GreenPages,Company,ACQUIRED,Zanaris,Company,4bd7afdba71243b0dbcd::c0000,2023-05-02,GreenPages acquired Toronto-based Zanaris an IT automation cloud and DevOps services firm.,0.9
Press Gazette,Company,WORKED_AT,Richard Jamieson,Person,5f54d2695696a7b61748::c0000,2022-12-27,Contact Richard Jamieson to enquire about working with Press Gazette.,0.8
Uber,Company,PARTNERED_WITH,HP,Company,f9038f2ec250a401856d::c0000,2023-10-04,Uber HP and more in the latest Market Talks covering Technology Media and Telecom.,0.7
Aeris Communications,Company,ACQUIRED,IoT Business from Ericsson,Technology,4f1346392056a403277d::c0000,2022-12-07,Aeris to Acquire IoT Business from Ericsson.,0.9
Sojern,Company,ACQUIRED,VenueLytics,Company,ea275b79c4b3b46d5941::c0000,2023-07-11,Sojern has acquired VenueLytics a platform that provides guest management and communications software for independent hotels.,1.0
Samsung Electronics Co. Ltd.,Company,DEVELOPED,analog and logic semiconductor technologies,Technology,8c5930949a3d9f3c3a38::c0000,2023-10-05,Samsung Electronics Co. Ltd. a world leader in advanced semiconductor technology today unveiled its latest innovations in analog and logic semiconductor technologies.,1.0
IAS,Company,PARTNERED_WITH,Amazon Publisher Services,Company,37086f833cf0b2a400a7::c0000,2023-03-29,IAS provides verification solution to Amazon Publisher Services Connections Marketplace.,1.0
Intelligent Technical Solutions,Company,ACQUIRED,Granite Computer Solutions,Company,f982dd2920614d44fec3::c0000,2023-03-28,"Intelligent Technical Solutions ('""ITS'"") a portfolio company of Tower Arch Capital is pleased to announce that it has acquired Granite Computer Solutions.",1.0
SIOS Technology Corp,Company,PARTNERED_WITH,ACP IT Solutions GmbH,Company,30eabd8710efff4abc2e::c0000,2023-08-14,SIOS Technology Corp. announced it has partnered with ACP IT Solutions GmbH.,1.0
