id,name,type,degree
fb0f4df56fab164ec48722f0,Microsoft,Company,15
0e132222d1315530d6efca52,Google,Company,12
7b29988cfc0dac3059f47a0e,L&T Technology Services,Company,11
6dbfdfc5a4e8df3668a4dac3,Meta,Company,10
cc9c6ee3857729e221d3f6de,ServiceNow,Company,10
68b3544368862fc263941c8d,Amazon,Company,6
3f052c4690533ff0ac061e7c,Fidelity National Information Services,Company,6
909fcd9c188c8c2429afa468,Google Cloud,Company,6
1728ebbc40b86a7b0169c353,White House,Company,5
261c78e541bbb8921217639a,Qualcomm,Company,5
3669130c05135dd501f33457,technology,Technology,5
773eeb9b7cc008bff365fcdd,OpenAI,Company,4
70c4e949ff245096c6946802,Amazon Web Services,Company,4
681006bc70d2b14804e79e11,IBM,Company,4
7fe475490e1e685de86b9310,5G technology,Technology,4
